ContractNumber,VendorName,ContractStartDate,ContractStopDate,NDCWithDashes,SubItemIdentifier,PackageDescription,Generic,TradeName,VAClass,Covered,PrimeVendor,Price,PriceStartDate,PriceStopDate,PriceType,Non-TAA
36F79718D0275,"Pharmacyclics, LLC",11/01/2017,10/31/2022,57962-0014-28,,28,"IBRUTINIB 140MG TAB,ORAL",IMBRUVICA 140MG TABLET,AN900,T,T,11367.32,01/01/2021,10/31/2022,FSS,Compliant
36F79718D0275,"Pharmacyclics, LLC",11/01/2017,10/31/2022,57962-0070-28,,28,"IBRUTINIB 70MG CAP,ORAL",IMBRUVICA 70MG CAPSULE,AN900,T,T,11367.32,01/01/2021,10/31/2022,FSS,Compliant
36F79718D0275,"Pharmacyclics, LLC",11/01/2017,10/31/2022,57962-0140-09,,90,"IBRUTINIB 140MG CAP,ORAL",IMBRUVICA,AN900,T,T,11909.42,01/01/2021,10/31/2022,FSS,Compliant
36F79718D0275,"Pharmacyclics, LLC",11/01/2017,10/31/2022,57962-0140-12,,120,"IBRUTINIB 140MG CAP,ORAL",IMBRUVICA,AN900,T,T,15879.21,01/01/2021,10/31/2022,FSS,Compliant
36F79718D0275,"Pharmacyclics, LLC",11/01/2017,10/31/2022,57962-0280-28,,28,"IBRUTINIB 280MG TAB,ORAL",IMBRUVICA 280MG TABLET,AN900,T,T,11367.32,01/01/2021,10/31/2022,FSS,Compliant
36F79718D0275,"Pharmacyclics, LLC",11/01/2017,10/31/2022,57962-0420-28,,28,"IBRUTINIB 420MG TAB,ORAL",IMBRUVICA 420MG TABLET,AN900,T,T,11367.32,01/01/2021,10/31/2022,FSS,Compliant
36F79718D0275,"Pharmacyclics, LLC",11/01/2017,10/31/2022,57962-0560-28,,28,"IBRUTINIB 560MG TAB,ORAL",IMBRUVICA 560MG TABLET,AN900,T,T,11367.32,01/01/2021,10/31/2022,FSS,Compliant
36F79718D0285,"Heron Therapeutics, Inc.",10/15/2017,10/14/2022,47426-0101-06,,1,"GRANISETRON 10MG/0.4ML INJ,SYRINGE KIT","SUSTOL 10MG/0.4ML INJ,SYRINGE KIT",GA605,T,T,1096.63,01/01/2021,10/14/2022,FSS,Compliant
36F79718D0285,"Heron Therapeutics, Inc.",10/15/2017,10/14/2022,47426-0201-01,,18ML,"APREPITANT 130MG/18ML INJ,EMULSION","CINVANTI 130MG/18ML INJ,EMULSION",GA605,T,T,196.35,06/17/2021,10/14/2022,FSS,Compliant
36F79718D0285,"Heron Therapeutics, Inc.",10/15/2017,10/14/2022,47426-0301-02,,14ML,BUPIVACAINE 400MG/MELOXICAM 12MG/VIAL SOLN,ZYNRELEF 400MG/12MG,CN205,T,T,198.74,07/01/2021,10/14/2022,FSS,Compliant
36F79718D0285,"Heron Therapeutics, Inc.",10/15/2017,10/14/2022,47426-0303-01,,7ML,BUPIVACAINE 200MG/MELOXICAM 6MG/VIAL SOLN,ZYNRELEF 200MG/6MG,CN205,T,T,100.67,07/01/2021,10/14/2022,FSS,Compliant
36F79718D0308,"Puma Biotechnology, Inc.",12/01/2017,11/30/2022,70437-0240-18,,180,NERATINIB 40MG TAB,NERLYNX 40MG TAB,AN900,T,T,11859.49,01/01/2021,11/30/2022,FSS,Compliant
36F79718D0310,"Virtus Pharmaceuticals, LLC",11/15/2017,11/14/2022,69543-0372-10,,100,PROGESTERONE 100 MG CAPSULE,PROMETRIUM 100 MG CAPSULE,HS800,T,T,337.19,01/01/2021,11/14/2022,FSS,Compliant
36F79718D0310,"Virtus Pharmaceuticals, LLC",11/15/2017,11/14/2022,69543-0373-10,,100,PROGESTERONE 200 MG CAPSULE,PROMETRIUM 200 MG CAPSULE,HS800,T,T,630.68,01/01/2021,11/14/2022,FSS,Compliant
36F79718D0310,"Virtus Pharmaceuticals, LLC",11/15/2017,11/14/2022,69543-0374-10,,100,PROGESTERONE 100 MG CAPSULE,PROGESTERONE 100 MG CAPSULE,HS800,T,T,24.04,01/01/2021,11/14/2022,FSS,Compliant
36F79718D0310,"Virtus Pharmaceuticals, LLC",11/15/2017,11/14/2022,69543-0375-10,,100,PROGESTERONE 200 MG CAPSULE,PROGESTERONE 200 MG CAPSULE,HS800,T,T,34.01,01/01/2021,11/14/2022,FSS,Compliant
36F79718D0310,"Virtus Pharmaceuticals, LLC",11/15/2017,11/14/2022,69543-0409-30,,30,"PHENDIMETRAZINE TARTRATE 105MG CAP,SA","PHENDIMETRAZINE TARTRATE 105MG CAP,SA",GA751,T,T,14.03,08/13/2021,11/14/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0010-21,,60,FLECAINIDE ACETATE 50MG TAB,FLECAINIDE ACETATE 50MG TAB,CV300,F,T,33.94,10/21/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0012-21,,60,FLECAINIDE ACETATE 150MG TAB,FLECAINIDE ACETATE 150MG TAB,CV300,F,T,76.81,10/21/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0017-20,,10X10,PREDNISONE 10MG TAB,PREDNISONE 10MG TAB,HS051,F,T,20.86,10/21/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0018-20,,10X10,PREDNISONE 20MG TAB,PREDNISONE 20MG TAB,HS051,F,T,22.29,10/21/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0062-58,,240ML,CITALOPRAM HYDROBROMIDE 10MG/5ML SOLN,CITALOPRAM HYDROBROMIDE 10MG/5ML SOLN,CN609,F,T,75.01,08/14/2020,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0123-22,,90,LOSARTAN POTASSIUM 25MG TAB,LOSARTAN POTASSIUM 25MG TAB,CV805,F,T,34.47,02/19/2021,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0124-22,,90,LOSARTAN POTASSIUM 50MG TAB,LOSARTAN POTASSIUM 50MG TAB,CV805,F,T,35.56,02/19/2021,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0125-22,,90,LOSARTAN POTASSIUM 100MG TAB,LOSARTAN POTASSIUM 100MG TAB,CV805,F,T,35.86,02/19/2021,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0163-25,,100,MYCOPHENOLATE MOFETIL 250MG CAP,MYCOPHENOLATE MOFETIL 250MG CAP,IM600,F,T,51.94,04/15/2021,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0163-29,,500,MYCOPHENOLATE MOFETIL 250MG CAP,MYCOPHENOLATE MOFETIL 250MG CAP,IM600,F,T,244.10,04/15/2021,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0166-25,,100,MYCOPHENOLATE MOFETIL 500MG CAP,MYCOPHENOLATE MOFETIL 500MG CAP,IM600,F,T,104.51,04/15/2021,12/31/2022,FSS,Compliant
36F79718D0318,"Golden State Medical Supply, Inc.",01/01/2018,12/31/2022,00054-0166-29,,500,MYCOPHENOLATE MOFETIL 500MG CAP,MYCOPHENOLATE MOFETIL 500MG CAP,IM600,F,T,496.43,04/15/2021,12/31/2022,FSS,Compliant
