Contract Number,Vendor Name,Contract Start Date,Contract Stop Date,NDC With Dashes,Sub Item Identifier,Package Description,Generic,Trade Name,VA Class,Covered,Prime Vendor,Price,Price Start Date,Price Stop Date,Price Type
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0200-10,No Data,100,GLYCOPYRROLATE 1MG TAB,ROBINUL TABLETS 1MG,AU350,T,T,407.22,01/01/2016,11/14/2017,Big4
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0200-10,No Data,100,GLYCOPYRROLATE 1MG TAB,ROBINUL TABLETS 1MG,AU350,T,T,593.45,01/01/2016,11/14/2017,FSS
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0205-10,No Data,100,GLYCOPYRROLATE 2MG TAB,ROBINUL FORTE TABLETS 2MG,AU350,T,T,633.76,01/01/2016,11/14/2017,Big4
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0205-10,No Data,100,GLYCOPYRROLATE 2MG TAB,ROBINUL FORTE TABLETS 2MG,AU350,T,T,905.98,01/01/2016,11/14/2017,FSS
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0309-10,No Data,10,DORIPENEM 250MG/VIL INJ,DORIBAX 250MG/VIL INJ,AM119,T,T,101.34,01/01/2017,11/14/2017,Big4
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0309-10,No Data,10,DORIPENEM 250MG/VIL INJ,DORIBAX 250MG/VIL INJ,AM119,T,T,101.34,01/01/2017,11/14/2017,FSS
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0320-10,No Data,10,DORIPENEM 500MG/VIL INJ,DORIBAX 500MG/VIL INJ,AM119,T,T,184.25,01/01/2017,11/14/2017,Big4
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0320-10,No Data,10,DORIPENEM 500MG/VIL INJ,DORIBAX 500MG/VIL INJ,AM119,T,T,184.25,01/01/2017,11/14/2017,FSS
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0485-30,No Data,30,FENOFIBRATE 160MG TAB,TRIGLIDE 160MG TAB,CV350,T,T,129.69,01/01/2016,11/14/2017,Big4
V797D-30009,Shionogi Inc.,11/15/2012,11/14/2017,59630-0485-30,No Data,30,FENOFIBRATE 160MG TAB,TRIGLIDE 160MG TAB,CV350,T,T,129.69,01/01/2016,11/14/2017,FSS
